city_cat,offense_count,totalworkers,male,income,poverty,high_school_below,high_school,some_college,bachelors_degree,state,ln_income,violent_crime,property_crime,whitecollar_crime,social_crime,age
0,1867,80926,48.0,26069,11.7,20.0,24.9,48.1,7.0,OH,10.16850215,555,952,111,197,3
0,1481,80926,48.0,26069,11.7,20.0,24.9,48.1,7.0,OH,10.16850215,488,725,82,143,3
0,2037,80926,48.0,26069,11.7,20.0,24.9,48.1,7.0,OH,10.16850215,647,1077,83,169,3
0,2084,80926,48.0,26069,11.7,20.0,24.9,48.1,7.0,OH,10.16850215,603,1203,70,150,3
0,2501,80926,48.0,26069,11.7,20.0,24.9,48.1,7.0,OH,10.16850215,786,1366,79,204,3
0,2483,80926,48.0,26069,11.7,20.0,24.9,48.1,7.0,OH,10.16850215,752,1436,78,155,3
0,2540,80926,48.0,26069,11.7,20.0,24.9,48.1,7.0,OH,10.16850215,774,1454,79,170,3
0,2496,80926,48.0,26069,11.7,20.0,24.9,48.1,7.0,OH,10.16850215,721,1420,93,199,3
0,2222,80926,48.0,26069,11.7,20.0,24.9,48.1,7.0,OH,10.16850215,660,1278,75,166,3
0,2491,80926,48.0,26069,11.7,20.0,24.9,48.1,7.0,OH,10.16850215,648,1502,86,186,3
0,2476,80926,48.0,26069,11.7,20.0,24.9,48.1,7.0,OH,10.16850215,629,1499,86,203,3
0,2319,80926,48.0,26069,11.7,20.0,24.9,48.1,7.0,OH,10.16850215,624,1350,93,185,3
0,2184,80105,50.9,26429,15.4,11.1,30.4,53.9,4.6,OH,10.18221717,622,1188,130,189,3
0,1950,80105,50.9,26429,15.4,11.1,30.4,53.9,4.6,OH,10.18221717,575,992,74,238,3
0,2173,80105,50.9,26429,15.4,11.1,30.4,53.9,4.6,OH,10.18221717,702,1067,83,241,3
0,2246,80105,50.9,26429,15.4,11.1,30.4,53.9,4.6,OH,10.18221717,638,1242,80,221,3
0,2510,80105,50.9,26429,15.4,11.1,30.4,53.9,4.6,OH,10.18221717,783,1354,100,211,3
0,2293,80105,50.9,26429,15.4,11.1,30.4,53.9,4.6,OH,10.18221717,666,1249,78,223,3
0,2488,80105,50.9,26429,15.4,11.1,30.4,53.9,4.6,OH,10.18221717,781,1347,78,212,3
0,2326,80105,50.9,26429,15.4,11.1,30.4,53.9,4.6,OH,10.18221717,721,1243,77,215,3
0,2188,80105,50.9,26429,15.4,11.1,30.4,53.9,4.6,OH,10.18221717,673,1154,73,209,3
0,2076,80105,50.9,26429,15.4,11.1,30.4,53.9,4.6,OH,10.18221717,613,1106,82,203,3
0,1982,80105,50.9,26429,15.4,11.1,30.4,53.9,4.6,OH,10.18221717,596,1100,82,156,3
0,2001,80105,50.9,26429,15.4,11.1,30.4,53.9,4.6,OH,10.18221717,603,1136,60,156,3
0,2016,85463,49.1,26569,84845.0,18.4,18.3,55.4,7.9,OH,10.1875004,557,1040,114,219,2
0,1651,85463,49.1,26569,84845.0,18.4,18.3,55.4,7.9,OH,10.1875004,512,810,73,192,2
0,1910,85463,49.1,26569,84845.0,18.4,18.3,55.4,7.9,OH,10.1875004,587,953,73,236,2
0,2071,85463,49.1,26569,84845.0,18.4,18.3,55.4,7.9,OH,10.1875004,629,1097,85,187,2
0,2320,85463,49.1,26569,84845.0,18.4,18.3,55.4,7.9,OH,10.1875004,709,1250,83,198,2
0,2312,85463,49.1,26569,84845.0,18.4,18.3,55.4,7.9,OH,10.1875004,657,1258,91,227,2
0,2172,85463,49.1,26569,84845.0,18.4,18.3,55.4,7.9,OH,10.1875004,589,1245,79,192,2
0,2218,85463,49.1,26569,84845.0,18.4,18.3,55.4,7.9,OH,10.1875004,589,1225,105,220,2
0,2166,85463,49.1,26569,84845.0,18.4,18.3,55.4,7.9,OH,10.1875004,629,1176,94,191,2
0,2174,85463,49.1,26569,84845.0,18.4,18.3,55.4,7.9,OH,10.1875004,581,1217,114,193,2
0,2050,85463,49.1,26569,84845.0,18.4,18.3,55.4,7.9,OH,10.1875004,554,1106,86,226,2
0,1803,85463,49.1,26569,84845.0,18.4,18.3,55.4,7.9,OH,10.1875004,544,955,60,183,2
0,1615,88787,50.2,26138,87721.0,10.5,35.7,48.1,5.8,OH,10.17114547,440,805,115,177,2
0,1426,88787,50.2,26138,87721.0,10.5,35.7,48.1,5.8,OH,10.17114547,409,662,78,203,2
0,1759,88787,50.2,26138,87721.0,10.5,35.7,48.1,5.8,OH,10.17114547,538,826,99,218,2
0,1870,88787,50.2,26138,87721.0,10.5,35.7,48.1,5.8,OH,10.17114547,548,942,99,216,2
0,2182,88787,50.2,26138,87721.0,10.5,35.7,48.1,5.8,OH,10.17114547,640,1123,88,250,2
0,2108,88787,50.2,26138,87721.0,10.5,35.7,48.1,5.8,OH,10.17114547,580,1126,71,245,2
0,2247,88787,50.2,26138,87721.0,10.5,35.7,48.1,5.8,OH,10.17114547,676,1169,86,231,2
0,2383,88787,50.2,26138,87721.0,10.5,35.7,48.1,5.8,OH,10.17114547,676,1300,88,232,2
0,2175,88787,50.2,26138,87721.0,10.5,35.7,48.1,5.8,OH,10.17114547,648,1141,78,236,2
0,2206,88787,50.2,26138,87721.0,10.5,35.7,48.1,5.8,OH,10.17114547,597,1234,81,225,2
0,1897,88787,50.2,26138,87721.0,10.5,35.7,48.1,5.8,OH,10.17114547,515,1017,74,213,2
0,1955,88787,50.2,26138,87721.0,10.5,35.7,48.1,5.8,OH,10.17114547,547,1094,74,179,2
0,1571,67158,53.1,27678,10.6,17.2,25.1,49.3,8.3,TN,10.22839315,342,1030,89,91,2
0,1425,67158,53.1,27678,10.6,17.2,25.1,49.3,8.3,TN,10.22839315,316,912,59,115,2
0,1694,67158,53.1,27678,10.6,17.2,25.1,49.3,8.3,TN,10.22839315,336,1124,66,138,2
0,1768,67158,53.1,27678,10.6,17.2,25.1,49.3,8.3,TN,10.22839315,382,1172,83,108,2
0,1797,67158,53.1,27678,10.6,17.2,25.1,49.3,8.3,TN,10.22839315,395,1153,76,144,2
0,1852,67158,53.1,27678,10.6,17.2,25.1,49.3,8.3,TN,10.22839315,350,1219,93,155,2
0,1888,67158,53.1,27678,10.6,17.2,25.1,49.3,8.3,TN,10.22839315,363,1235,71,172,2
0,1917,67158,53.1,27678,10.6,17.2,25.1,49.3,8.3,TN,10.22839315,401,1187,89,184,2
0,1742,67158,53.1,27678,10.6,17.2,25.1,49.3,8.3,TN,10.22839315,343,1143,90,133,2
0,1653,67158,53.1,27678,10.6,17.2,25.1,49.3,8.3,TN,10.22839315,340,1067,76,137,2
0,1722,67158,53.1,27678,10.6,17.2,25.1,49.3,8.3,TN,10.22839315,363,1078,96,149,2
0,1711,67158,53.1,27678,10.6,17.2,25.1,49.3,8.3,TN,10.22839315,334,1139,85,124,2
0,1761,74830,51.6,28619,10.3,10.0,23.9,52.5,13.6,TN,10.26182611,355,1111,101,150,2
0,1354,74830,51.6,28619,10.3,10.0,23.9,52.5,13.6,TN,10.26182611,294,830,75,119,2
0,1710,74830,51.6,28619,10.3,10.0,23.9,52.5,13.6,TN,10.26182611,424,1039,80,133,2
0,1858,74830,51.6,28619,10.3,10.0,23.9,52.5,13.6,TN,10.26182611,409,1160,111,128,2
0,1961,74830,51.6,28619,10.3,10.0,23.9,52.5,13.6,TN,10.26182611,450,1243,102,132,2
0,1811,74830,51.6,28619,10.3,10.0,23.9,52.5,13.6,TN,10.26182611,429,1132,79,133,2
0,1868,74830,51.6,28619,10.3,10.0,23.9,52.5,13.6,TN,10.26182611,459,1155,93,127,2
0,976,74830,51.6,28619,10.3,10.0,23.9,52.5,13.6,TN,10.26182611,224,556,82,88,2
